Tanggal,Tn,Tx,Tavg,RH_avg,RR,ddd_x,ff_avg
01-01-2022,24,30.8,27.3,78,0,180,1
02-01-2022,23,30.9,26.8,84,31.5,180,3
03-01-2022,24,30.3,26.6,79,0,250,2
04-01-2022,21.4,31.2,26.6,76,0,250,2
05-01-2022,22.8,32.2,27.5,75,0,250,2
06-01-2022,22.6,32,27.4,74,0,260,1
07-01-2022,24,31.2,27.4,78,0,220,3
08-01-2022,22.8,32.2,27.4,75,4.5,250,1
09-01-2022,24.2,29.4,26.2,88,6.8,280,1
10-01-2022,22.8,31.6,25.8,88,15.2,270,1
11-01-2022,23.2,31,25.9,89,13.5,220,2
12-01-2022,22.8,30.8,25.7,87,19.7,270,1
13-01-2022,23.2,29.8,25.1,88,52.8,40,1
14-01-2022,23.4,32.3,26.5,78,2.4,20,2
15-01-2022,23.3,31.6,27.1,80,0,270,1
16-01-2022,24.2,33.4,28.2,76,0,200,1
17-01-2022,23.6,30.9,26.2,83,0,280,3
18-01-2022,23.8,31.4,26.4,80,9.7,230,2
19-01-2022,22.6,30.6,25.7,87,2.8,210,2
20-01-2022,23.2,28.7,24.9,89,11,260,2
21-01-2022,22.3,30.6,26,86,19.4,250,2
22-01-2022,23.5,30.2,26.6,80,0.6,250,2
23-01-2022,23.6,30.7,26.1,87,5.4,250,3
24-01-2022,24,31.4,27.5,79,0.9,270,3
25-01-2022,24.9,32.2,27.6,75,0,280,4
26-01-2022,24.2,31.7,26.3,86,1.5,210,2
27-01-2022,23.2,31.4,26.8,86,39.6,230,2
28-01-2022,23.8,30.2,26.7,84,6,270,2
29-01-2022,23.4,31.6,27,80,0.2,180,2
30-01-2022,24.3,31.6,27.5,81,0.5,260,2
31-01-2022,23.6,31.6,27,80,10.5,350,2
01-02-2022,24.2,31.4,27.5,78,0,240,2
02-02-2022,24.3,30.8,26,87,0,100,1
03-02-2022,23.2,33,26.6,81,3,100,2
04-02-2022,23.3,31.7,27.2,83,59.1,260,2
05-02-2022,23,28.4,24.8,92,33,250,1
06-02-2022,23.5,31.7,26.2,83,2.9,330,2
07-02-2022,23.4,29.4,26.2,84,26.7,30,2
08-02-2022,23.9,30.7,27,80,0.4,340,1
09-02-2022,24,31.8,26.9,84,0,230,2
10-02-2022,23.4,32.1,27.2,79,0,200,2
11-02-2022,23.1,31.4,25.7,88,65.8,220,2
12-02-2022,22.9,32,26.7,81,10.5,270,2
13-02-2022,23.6,31.8,25,91,8888,90,2
14-02-2022,22.5,30.5,25.9,88,97.6,210,1
15-02-2022,22.8,28,24.7,91,41.4,250,1
16-02-2022,23.2,31,26.2,85,6.9,110,2
17-02-2022,22.9,32,26.2,86,26.8,80,2
18-02-2022,23.9,29.4,25.6,87,8888,90,2
19-02-2022,24,30.9,26.4,84,,90,1
20-02-2022,24.5,29.8,27,84,0,250,0
21-02-2022,23.4,30.4,26.8,80,0,260,1
22-02-2022,23.8,30.3,26.5,82,0,300,2
23-02-2022,22.4,31.6,26.6,79,8888,280,3
24-02-2022,24,30.1,27.7,70,0,250,4
25-02-2022,24.2,30.2,26.4,77,0,250,3
26-02-2022,23.4,31.4,26.2,80,1.8,230,2
27-02-2022,23.8,31.8,26.6,78,19.7,280,1
28-02-2022,23.6,30.5,26.7,82,0.8,240,3
01-03-2022,22.3,31.2,26.8,78,0.7,250,4
02-03-2022,24.1,29.6,25.7,86,1,220,3
03-03-2022,23.8,29.5,25.9,84,59.8,260,3
04-03-2022,23.3,30.6,26.5,83,3.6,200,2
05-03-2022,23.2,30,25.9,87,0,220,2
06-03-2022,22.6,31.2,26.1,84,0.4,250,3
07-03-2022,23.5,29.9,26.1,86,2,250,3
08-03-2022,23.4,30.6,26.5,84,1.2,27,2
09-03-2022,24.2,30.6,26.4,88,4.2,240,2
10-03-2022,23.2,30,25.8,90,0,360,2
11-03-2022,23,31.4,25.5,87,14,250,1
12-03-2022,23,30.3,25.8,88,8.6,250,2
13-03-2022,23.8,32.3,26.5,86,10.8,100,2
14-03-2022,23.8,31.4,26.6,86,2.4,230,2
15-03-2022,23.8,27.4,25.1,92,6.6,310,2
16-03-2022,22.7,31,25.4,88,5.5,230,1
17-03-2022,22.6,32.3,26.8,86,43.8,260,2
18-03-2022,24.6,30.6,26.7,89,0,280,1
19-03-2022,24,31,26.9,85,7.8,210,3
20-03-2022,23.8,31.6,27,79,9.8,270,2
21-03-2022,23.4,30.8,26.3,88,2,250,3
22-03-2022,23,32.4,26.7,82,0,290,2
23-03-2022,23.2,31,26.4,85,,250,1
24-03-2022,23.2,30.6,25.6,88,4.5,140,1
25-03-2022,23.3,31,26.7,87,12.1,170,1
26-03-2022,24,31.6,27.3,83,,230,2
27-03-2022,24.1,29.6,26.8,80,1.2,240,1
28-03-2022,24,32.6,26.3,84,0,360,2
29-03-2022,22.2,31.4,25.5,86,52.6,280,2
30-03-2022,22.8,32.2,25.9,83,0,350,1
31-03-2022,22.1,31.8,26.5,80,45.4,310,2
01-04-2022,22,31.6,25.6,85,10.5,250,2
02-04-2022,22.2,31.9,25.3,84,46.3,210,2
03-04-2022,22.5,30.4,25.1,90,43,230,1
04-04-2022,22.6,,26.7,83,24.5,270,1
05-04-2022,23.8,30.2,26.5,87,3.7,260,2
06-04-2022,23.2,30.6,26.7,84,15,260,2
07-04-2022,23.2,29.3,26,83,0.8,250,2
08-04-2022,22.8,29.4,26.2,84,3.1,240,2
09-04-2022,22.9,30.2,25.8,86,0,180,2
10-04-2022,24.4,,26.3,87,0,230,2
11-04-2022,22.8,31.6,26.4,84,22.3,260,2
12-04-2022,22.6,32.6,26.7,79,0.8,100,1
13-04-2022,22.8,31.4,26.5,82,2.3,220,1
14-04-2022,23.6,32.6,27.2,76,1.3,340,1
15-04-2022,23.6,32.2,27.1,81,2,290,2
16-04-2022,23.5,31.8,26.7,83,0,200,1
17-04-2022,23,32.7,27.4,80,6.2,280,2
18-04-2022,23.6,32.5,26.8,85,6,340,1
19-04-2022,23,31,25.8,90,11.3,230,2
20-04-2022,23.2,30.6,25.7,87,5.3,260,2
21-04-2022,22.9,,25.4,90,25.2,130,1
22-04-2022,22,32.6,27.3,80,1.8,150,1
23-04-2022,22.8,32.6,26.3,80,0,60,0
24-04-2022,23,31.3,25.6,91,17.4,260,1
25-04-2022,23.3,30,26.7,84,14.2,240,2
26-04-2022,23.6,31.3,26.4,91,0,70,1
27-04-2022,24,32.3,27,85,3.3,250,1
28-04-2022,23,31.3,27.4,82,8888,140,1
29-04-2022,24.3,31,27.4,80,0,260,2
30-04-2022,24.7,32,26.9,86,0,200,1
01-05-2022,23.4,32.8,27,82,0,130,2
02-05-2022,24.3,,28,79,0,220,1
03-05-2022,23.2,33.6,29.1,74,0,110,0
04-05-2022,24.1,32.7,27.5,84,2.5,80,2
05-05-2022,24.3,31.4,27.2,86,6.5,20,1
06-05-2022,23.4,31.6,26.7,86,0,20,1
07-05-2022,23.8,31.4,26.6,89,69,210,1
08-05-2022,24,31,26.9,86,12,240,3
09-05-2022,23.9,32,27.2,86,2.5,260,1
10-05-2022,24,32.4,27.4,85,24.5,230,2
11-05-2022,23.8,32.7,28,81,0,110,2
12-05-2022,25.2,32.6,27.5,85,0.7,280,2
13-05-2022,25.1,33.9,29,73,0,230,2
14-05-2022,25,32,27.6,85,1.3,220,2
15-05-2022,24.6,32,27.7,86,2.4,240,2
16-05-2022,24.8,32,27.5,82,0.3,200,2
17-05-2022,22.8,31.5,27.1,81,0,220,1
18-05-2022,23.8,32.4,27,82,0,250,1
19-05-2022,24.6,31.8,26.9,86,3.9,220,2
20-05-2022,23,30.6,26.1,88,21.3,200,1
21-05-2022,23.6,31,26.5,87,7.2,200,1
22-05-2022,23,31.8,,,4,170,1
23-05-2022,22.8,32.4,26.8,81,8888,90,2
24-05-2022,22.7,33.4,27.4,80,0,270,2
25-05-2022,24.1,30.9,26.1,88,13.8,270,2
26-05-2022,23.4,28.4,24,96,21.8,100,1
27-05-2022,22.4,30,27.6,75,35.5,210,1
28-05-2022,22.8,32.4,27.2,79,0,320,2
29-05-2022,22.3,32.6,26.9,79,0,120,2
30-05-2022,22.4,33.9,27,78,8888,300,2
31-05-2022,22.3,31,26.2,84,2.4,250,2
01-06-2022,23.1,29.8,25.9,88,47.3,230,1
02-06-2022,22.7,31,26.3,85,0,260,2
03-06-2022,23.2,,26.3,84,4,250,2
04-06-2022,22.4,30.3,25.9,84,0,220,2
05-06-2022,24.2,30.6,26.1,88,5,200,2
06-06-2022,23,30.4,25.5,86,1,320,2
07-06-2022,22.3,31.3,26.3,84,8.2,130,2
08-06-2022,22.2,32,26.3,85,,40,2
09-06-2022,22.4,30,25.7,89,58.5,270,0
10-06-2022,23,30.7,26.2,85,0,270,2
11-06-2022,23.9,32,26.6,83,0,330,1
12-06-2022,22.6,30.9,26.4,85,36.3,120,1
13-06-2022,23.2,28.5,23.5,96,,250,1
14-06-2022,22,29.4,25.4,88,69.5,220,1
15-06-2022,22.6,32,27,82,0.8,331,2
16-06-2022,22.8,30.6,25.8,86,0,240,1
17-06-2022,22.2,29.8,25.1,89,11.5,320,1
18-06-2022,22.3,29.6,25.4,88,13.8,180,1
19-06-2022,22.5,30.6,25.8,86,6,290,2
20-06-2022,23.3,30.9,26.3,84,0.4,150,2
21-06-2022,22.4,31,26.6,79,0,90,1
22-06-2022,22.6,31.3,26.9,76,0,180,2
23-06-2022,22,30.8,26.1,80,0,120,2
24-06-2022,23.1,30,26.1,82,0,150,3
25-06-2022,23.6,30.2,26.2,80,0,220,1
26-06-2022,22.8,29.6,25.6,86,0,120,1
27-06-2022,22.8,29,25.5,84,5.8,160,2
28-06-2022,21.8,30,25.5,77,0,180,2
29-06-2022,20.4,29.6,24.6,76,0,250,2
30-06-2022,21,30.6,25.2,76,0,140,2
01-07-2022,20.5,31.3,25.6,76,0,100,2
02-07-2022,22.2,30.4,25.5,80,,310,1
03-07-2022,23.6,31.8,26.9,86,7.7,90,1
04-07-2022,23.8,32,27,85,0.7,90,2
05-07-2022,23.4,31.7,26.8,83,,270,2
06-07-2022,23.5,31.8,26,84,0,250,2
07-07-2022,21.8,29.9,25.8,78,2.2,220,2
08-07-2022,21.4,29,25.1,84,0,260,2
09-07-2022,20.6,29,24.1,81,0,260,2
10-07-2022,20.6,30,25,77,0,140,1
11-07-2022,21,30.8,24.8,87,0,300,2
12-07-2022,,31.4,26,86,81.1,260,2
13-07-2022,23.4,30.2,26.3,86,0,270,2
14-07-2022,23.7,31.3,26.3,85,8.5,140,2
15-07-2022,23.5,29.6,26.5,84,0,120,2
16-07-2022,23.3,27.7,24.9,88,0.4,270,2
17-07-2022,22.8,29.8,25.5,84,0,120,1
18-07-2022,22.4,29.8,26,80,0,230,2
19-07-2022,22.7,31.7,26,78,0,280,2
20-07-2022,20.9,31.2,25.1,81,0,120,1
21-07-2022,21.8,28.8,25.3,80,0,210,2
22-07-2022,22,29.7,25.8,81,0,260,2
23-07-2022,22.5,29,25.3,82,0,200,2
24-07-2022,23.4,29.7,25.5,77,0,180,2
25-07-2022,19.4,29.8,24.3,70,0,200,2
26-07-2022,18.7,30.4,24.1,74,0,270,1
27-07-2022,18.8,31.7,25.4,79,0,100,2
28-07-2022,21.8,30.8,25.5,84,0,250,2
29-07-2022,21,30.7,24.8,85,,240,2
30-07-2022,21.3,30.2,25.4,80,0,250,2
31-07-2022,20.4,29.8,24.5,81,0,250,2
01-08-2022,21.2,31.8,25.6,80,0,270,2
02-08-2022,22.4,30,25.5,82,,250,1
03-08-2022,22.3,,26,84,,230,2
04-08-2022,22.5,31,25.9,79,8888,260,3
05-08-2022,20.5,31.1,24.8,78,0,240,2
06-08-2022,20.6,30.1,25.1,85,0,220,3
07-08-2022,23.2,29.4,25.8,80,3.1,180,1
08-08-2022,22.4,30.6,25.7,79,0.2,210,2
09-08-2022,22.4,31.4,26.1,79,0,210,2
10-08-2022,23,,26.2,81,8888,270,2
11-08-2022,23.6,29.2,25.4,89,0,280,2
12-08-2022,24.8,30.8,26.5,84,2.9,120,2
13-08-2022,22.3,30.7,25.7,84,5.4,230,2
14-08-2022,22.7,29.6,25.8,87,4.2,230,1
15-08-2022,23,32.4,26.7,81,7,250,2
16-08-2022,23.6,30,26.8,84,7,240,1
17-08-2022,23.2,30.6,26.3,79,5.9,220,3
18-08-2022,23,30.2,25.7,81,0,190,3
19-08-2022,22,30.3,25.4,81,8888,150,3
20-08-2022,21.5,30.8,25.7,75,,260,1
21-08-2022,23.8,29.4,25.8,79,0,260,0
22-08-2022,21.4,30.6,25.4,77,0,240,2
23-08-2022,21.4,31.1,25.4,78,0,210,2
24-08-2022,21.8,30.1,25.9,77,,230,2
25-08-2022,22.5,30.8,26.2,74,0,200,2
26-08-2022,21.8,30.4,25.7,78,,240,2
27-08-2022,21.9,32.1,25.6,77,0,250,2
28-08-2022,22.7,28.9,24.9,80,0.6,220,2
29-08-2022,21.2,27.4,24.1,82,0,260,3
30-08-2022,22.8,28.4,25,84,8888,300,2
31-08-2022,23.8,30,25.3,89,,270,1
01-09-2022,22.3,31.2,26.4,82,10.2,180,1
02-09-2022,23.2,31.7,26.6,82,0,250,3
03-09-2022,23.6,30,25.7,85,0.8,250,3
04-09-2022,20.9,30,25.2,81,0,350,1
05-09-2022,23,31.4,26.4,81,0,240,2
06-09-2022,24,30.9,26.6,81,0,270,2
07-09-2022,23.4,31.6,26.4,85,0,240,1
08-09-2022,23.3,30.3,25.7,88,28.3,330,2
09-09-2022,22.7,31.4,25.1,90,17.6,240,1
10-09-2022,22.8,29.6,25.5,86,6.9,270,1
11-09-2022,23.1,28.7,25.6,88,29.3,200,2
12-09-2022,22.2,32.9,26.9,81,0,250,2
13-09-2022,23.4,31.7,27.2,78,,280,2
14-09-2022,22.2,31,26.5,78,0,290,2
15-09-2022,23.8,30,26.3,80,0,170,1
16-09-2022,23.6,,,,0,250,1
17-09-2022,22.5,32.4,26.8,80,0.4,220,2
18-09-2022,22.9,31.7,26.4,80,0,250,3
19-09-2022,23.2,30.8,26.7,78,0,180,3
20-09-2022,23.7,29.6,26.5,75,0,190,2
21-09-2022,,,,,,,
22-09-2022,24.7,30.8,27.2,76,0.3,210,3
23-09-2022,23.2,31.2,26.8,84,0,280,2
24-09-2022,24,30.4,26.3,84,14.2,200,3
25-09-2022,23.7,30,26.3,79,,210,2
26-09-2022,23.9,29.7,26.1,81,0,160,3
27-09-2022,24,30.4,25.9,82,0.3,220,3
28-09-2022,22.1,30.5,25.8,81,,260,2
29-09-2022,23.1,29.6,25.7,85,3.8,230,2
30-09-2022,24.2,29.5,25.4,89,0,230,1
01-10-2022,23.6,30,25.6,89,20.7,150,1
02-10-2022,22.6,30.4,25.5,88,27.1,240,2
03-10-2022,23.1,29.6,24.6,93,7.3,210,2
04-10-2022,22.9,29.6,25.4,87,64.7,270,1
05-10-2022,23.2,28.5,25.4,85,0,230,2
06-10-2022,23.4,27.9,25.1,88,4.9,190,2
07-10-2022,23.2,30.4,24.5,96,0.9,290,2
08-10-2022,23.6,28.7,25.4,92,16.6,150,2
09-10-2022,22.3,29.8,25.6,92,13.2,260,2
10-10-2022,22.2,30.2,26.3,87,18.5,250,2
11-10-2022,24.3,29.4,25.8,89,2.8,230,2
12-10-2022,22.3,29.4,25.9,88,35.5,230,2
13-10-2022,23.2,30.2,24.5,94,2.2,240,1
14-10-2022,22.8,27,24.2,94,16.9,180,1
15-10-2022,23.2,27.5,24.8,90,0.7,270,2
16-10-2022,22.3,,26.4,84,8888,260,1
17-10-2022,23.6,29.1,23.8,98,8.5,280,1
18-10-2022,23,26.4,24.4,95,58,220,0
19-10-2022,22.3,29.5,24.5,95,13.9,220,1
20-10-2022,23.3,28.4,25.4,90,25.8,230,2
21-10-2022,23.8,29.1,24.5,93,11.1,250,2
22-10-2022,22,32.2,26.6,81,13.2,230,2
23-10-2022,23.1,31,27.4,80,0,240,3
24-10-2022,24,30.5,26.1,83,0,250,3
25-10-2022,22.6,30.2,25.6,88,2.5,220,2
26-10-2022,22.5,28,24.3,91,24.4,230,2
27-10-2022,21.3,28.9,25.3,82,14.5,240,2
28-10-2022,22.6,29.8,25.7,76,0,220,2
29-10-2022,21.4,28.2,25,82,0,250,2
30-10-2022,22.4,26.8,25.1,79,0,250,1
31-10-2022,22.2,30.2,26.7,76,8888,290,3
01-11-2022,22.3,28,24.2,91,0,300,1
02-11-2022,23.2,30.4,26.1,88,8.3,260,2
03-11-2022,23.6,31.8,27.4,86,3.4,260,2
04-11-2022,22.6,29.5,25.6,89,9.1,220,1
05-11-2022,23.4,31.1,27.1,82,2.9,230,2
06-11-2022,24.2,29.2,25.7,90,8.7,240,1
07-11-2022,22.5,29.2,25.2,86,38.3,200,1
08-11-2022,22.2,31.8,25.2,90,29.7,180,1
09-11-2022,22.2,30.5,25.3,91,30.5,70,2
10-11-2022,22.8,31.6,26.4,85,32.6,210,2
11-11-2022,23.3,29.4,25.9,87,0.5,270,2
12-11-2022,23.2,30.8,25.9,85,0,190,1
13-11-2022,22.8,27.7,25.4,93,60.2,350,1
14-11-2022,22.8,29.7,24.9,92,25,260,2
15-11-2022,22.2,30.6,26.7,85,41.6,270,2
16-11-2022,23.2,30.7,25.9,90,8,250,2
17-11-2022,22.6,30.8,25.8,91,7,10,2
18-11-2022,23.8,31,26.8,82,18.5,200,1
19-11-2022,21.6,30.4,25.6,81,49,80,1
20-11-2022,22.2,29.8,25.6,89,0.3,280,4
21-11-2022,22.4,29,25.5,87,0.9,230,2
22-11-2022,23.3,29.6,25.7,86,2.9,230,3
23-11-2022,22.6,30.8,26.4,82,1,250,2
24-11-2022,23.2,29.2,25.5,90,10.6,230,1
25-11-2022,22.2,29.2,25.2,86,4,120,1
26-11-2022,22.6,27.4,25,91,1.2,260,1
27-11-2022,22.4,30.1,25.8,80,4.5,240,2
28-11-2022,23.4,28.6,25.4,88,3.8,250,2
